"iPhone Theme 2","iPhone Theme 2"
"General","General"
"Enable Module","Enable Module"
"Home Page","Home Page"
"-- Please Select --","-- Please Select --"
"Design","Design"
"Mobile Logo Image","Mobile Logo Image"
"Tablet Logo Image","Tablet Logo Image"
"Recommended image size is 120x44px","Recommended image size is 120x44px"
"If not specified, 'Mobile Logo Image' will be used for tablets. Recommended image size is 240x30px","If not specified, 'Mobile Logo Image' will be used for tablets. Recommended image size is 240x30px"
"Bookmarks Icon Source","Bookmarks Icon Source"
"Behavior","Behavior"
"Display Desktop/Mobile Switcher at Footer","Display Desktop/Mobile Switcher at Footer"
"Mobile Device Detection","Mobile Device Detection"
"Auto","Auto"
"Force Mobile View","Force Mobile View"
"Desktop View","Desktop View"
"Google Analytics","Google Analytics"
"Account Number","Account Number"
"Catalog Navigation","Catalog Navigation"
"Catalog","Catalog"
"Cancel","Cancel"
"Customer Login","Customer Login"
"Done","Done"
"Sort Order","Sort Order"
"Sort By","Sort By"
"Ascending","Ascending"
"Descending","Descending"
"Apply","Apply"
"Filter by","Filtrar Por"
"Filter By","Filtrar Por"
"Back","Back"
"All","All"
"Clear All","Borrar"
"Mobile Version","Mobile Version"
"Home","Home"
"Shopping Cart","Shopping Cart"
"Category products","Category products"
"Show %s more","Ver %s más"
"Details","Details"
"Apply discount","Aplicar descuento"
"Apply Discount","Aplicar Descuento"
"Check this checkbox if you want to add gift messages","Check this checkbox if you want to add gift messages"
"Logout","Salir"
"Register","Register"
"Returning Customers","Returning Customers"
"Register to Create an Account","Register to Create an Account"
"You will receive an order confirmation email with details of your order and a link to track its progress","You will receive an order confirmation email with details of your order and a link to track its progress"
"You are currently not subscribed to any newsletter","You are currently not subscribed to any newsletter"
"Dashboard","Dashboard"
"Address Edit Form","Address Edit Form"
"To add or remove gift cards, click here","To add or remove gift cards, click here"
"Coupon Code","Coupon Code"
"Mobile Description","Mobile Description"
"Mobile Options","Mobile Options"
"Please specify mobile home pages.","Please specify mobile home pages."
"Please specify tablet and mobile home pages.","Please specify tablet and mobile home pages."
"Display stock status at catalog","Display stock status at catalog"
"Configure and Buy","Configure and Buy"
"Apply sorting","Aplicar Orden"
"Mobile Home Page","Mobile Home Page"
"Menu","Menu"
"Low to high","Low to high"
"High to low","High to low"
"Clear all filter","Borrar todos los Filtros"
"Apply the filter","Aplicar Filtro"
"Sign in","Ingresar"
"Place the order","Proceder a Comprar"
"Your cart","Su Carro"
"Add to cart","Comprar"
"Related","Relacionados"
"reviews","Comentarios"
"Reviews","Comentarios"
"Summary","Resumen"
"Checkout","Caja Virtual"
"Ship to another address","Enviar a otra dirección"
"Choose and continue","Elegir y Continuar"
"Choose and Continue","Elegir y Continuar"
"Sub-Total","NETO"
"Sub-total","NETO"
"SUB-TOTAL","NETO"
"Total (IVA Incluido)","TOTAL"
"TOTAL (IVA INCLUIDO)","TOTAL"
"TODO","Ver Todos"
"Todo","Ver Todos"
"Create an account","Crear una Cuenta"
"%s Reviews","%s Comentarios"
"Street Address 2","Número (Ej. 14500)"
"Street Address 3","Dpto. o Referencia (Ej. Dpto. 404 Torre B"
"Ship to this address","Continuar"
"Please, choose the payment method","Elija el medio de pago"
"Your order # is: %s.","Su Número de Pedido es: %s."
"You are checking out as Guest",""
